,title,videoId,viewCount,likeCount,dislikeCount,commentCount,videoDuration,Date
40,BBC Arabic's Afaq programme on the British Library Qatar Foundation Partnership,LIHqZSGdGRY,3965,3,0,0,PT20M14S,2013-11-01T09:37:44.000Z
41,Sama Jordan BBC ARABIC l`lm hdh lms Dyf lnshr@ mn `mn ldktwr yHy~ lqbysy,6s54GUS3O6Q,44,4,0,0,PT22M31S,2018-06-11T19:57:50.000Z
42,BBC Arabic TV 2016 05 23 19 01 37,ljflECQ237g,112,0,0,0,PT23M51S,2016-05-30T15:23:05.000Z
43,Reportage BBC Arabic Souad MASSI - rbwrtj lby by sy - s`d msy,pWevGHUrSwo,26,3,0,0,PT28M4S,2018-06-04T12:24:39.000Z
44,"wthy'qy by by sy ""'mr al s`wd lmkhTwfwn""",GG0nlHnBUfw,1556716,7241,6681,2734,PT27M45S,2017-08-15T21:51:53.000Z
45,BBC Arabic  HADEETH Alsa'a - GAZA  : Gz@  by by sy `rby  Hdyth ls`@,Mwy2BWJI1vs,734,2,1,2,PT52M,2012-11-21T12:42:56.000Z
46,kyf Zhr l'ltrs l'wl mr@ fy mSr wl~ 'yn nthw?,0CzMw8pLN-8,69934,1409,51,96,PT26M5S,2017-05-05T15:40:05.000Z
47,BBC Arabic TV 2016 02 26 19 06 12,QXLbEjoR1EI,195,1,0,0,PT51M11S,2016-02-27T17:58:46.000Z
48,Sama Jordan BBC ARABIC l`lm hdh lms Dyf lnshr@ mn `mn ldktwr llw fyz ldwyry,H3NuyU6X5aI,311,9,0,0,PT25M27S,2018-06-09T21:35:32.000Z
49,lq krmn slymn fy drdsh@ lyly@ `l~ dh`@ BBC Arabic Network,SiQFhKrpS4I,2019,14,4,0,PT26M34S,2015-12-07T22:21:18.000Z
0,by_by_sy_trndynG | #`dnn_'wktr ld`y@ lslmy wnsw'h lrqSt fy qbD@ lshrT@ fy #trky,qsMpwPvU4Fc,477578,4345,728,1864,PT8M2S,2018-07-12T15:56:27.000Z
1,by_by_sy_trndynG | m`lwmt l #by_by_sy tshyr l~ 'n #qTr qd tkwn df`t 'kbr fdy@ fy ltrykh,oTrjLX-VyaM,30953,332,109,218,PT6M42S,2018-07-18T16:26:08.000Z
2,by_by_sy_trndynG | jywsh wHmy@ stthny'y@ l #trmb 'thn zyrth #lndn...t`rfw `l~ mwkbh,UZIcuZp6Gm8,74467,1448,65,364,PT4M50S,2018-07-13T16:20:15.000Z
3,by_by_sy_trndynG | #frns tHSl `l~ lk's wmwqf Tryf@ khll nhy'y #k's_l`lm,EfzBJ6jaJVg,150321,1605,133,408,PT4M46S,2018-07-16T16:22:29.000Z
4,by_by_sy_trndynG | #tbwt yktshf fy #lskndry@ y`yd #l`n@_lfr`n@ wyGDb #lmSrywn,ktS39pFLx0I,150692,1256,146,403,PT5M34S,2018-07-20T16:25:25.000Z
5,by_by_sy_trndynG |#ryD_mHrz ySTHb mh ltwqy` Sfqth ljdyd@ m` #mnshstr_syty,35NCSMuqXH8,69657,1269,29,375,PT4M34S,2018-07-12T16:06:20.000Z
6,by by sy `rby tzwr mHfl lmswny@ fy bryTny,1_p29eVZq40,357842,4226,1008,1279,PT8M47S,2018-03-13T14:14:25.000Z
7,by by sy fy m`br nSyb  `nd lHdwd l'rdny@ lswry@,ToXjI5rbOb0,112595,893,168,672,PT6M47S,2018-07-08T10:50:50.000Z
8,jhz lltshkhyS lmbkr lmrD lsd - 4Tech,8ZCerKlfFd4,1065,35,1,1,PT6M47S,2017-09-30T18:30:00.000Z
9,by by sy tltqy Hd~ zwjt `nSr tnZym ldwl@,-qQEANYK_eA,352550,803,262,317,PT4M9S,2017-07-26T11:49:40.000Z
10,by_by_sy_trndynG | qS@ by by sy `rby b`d 80 `m `l~ t'sysh,03UcLJVDJQk,12439,330,13,43,PT7M37S,2018-01-29T16:16:09.000Z
11,qn@ bbc l`rby@- ysrlhwr~-lry'ysy@ - BBC Arabic-shhd lbth lmbshr ltlfzywn by by sy-'khbr lshrq ,5YWKW5fm-5s,8742,6,14,0,PT5M,2017-06-23T17:16:26.000Z
12,hl tnDmW dwl jdyd@ l~ jm`@ ldwl l`rbyW@?- jz 3- lHlq@ 41 - by by sy kstr,z4LintoO7jk,1813,31,5,52,PT8M43S,2018-07-18T18:00:07.000Z
13,BBC Arabic Live  lbth lmbshr ltlfzywn by by sy `rby,LDlZsrvhli4,6540,21,6,0,PT11M59S,2018-02-09T19:52:37.000Z
14,""" `lm 'myr@ "" lHlq@ 28 - ljz2- by by sy kstr",NKEzhJCWGkw,10507,259,16,23,PT8M48S,2018-04-11T18:00:03.000Z
15,"#by_by_sy_trndynG: nHwr lmGrd ls`wdy SHb tGryd@ ""llhm nSr bny sry'yl `l~ `dwhm w`dwn""",o0GRXxvmwoU,171711,683,1317,1996,PT5M43S,2018-05-16T16:50:38.000Z
16,by_by_sy_trndynG | l`td `l~ Tfl 'fryqy fy #ljzy'r fy fydyw 'thr tf`l sysy wsh`by,NtAKrDUkUMU,63191,907,192,1294,PT7M49S,2018-07-13T16:06:37.000Z
17,Sama Jordan BBC ARABIC l`lm hdh lms Dyf lnshr@ mn `mn ldktwr zyd lnwys@,3MA9CpSJBuM,890,6,0,0,PT16M53S,2018-06-10T19:29:32.000Z
18,"BBC Arabic News /by by sy l`rby lkhbr lywmy  April 06, 2018",vSlEZ94Curw,86,0,0,0,PT5M37S,2018-04-06T03:32:34.000Z
19,by_by_sy_trndynG | #y_wzyr_lt`lym_qf_m`_m`lmyk wkyf rd wzyr lt`lym ls`wdy,UvKVHtirkks,5643,41,6,14,PT6M13S,2017-11-10T16:27:36.000Z
20,`dl lklbny ykfr`mwm `lm lshy`@  -  BBC ARABIC NEWS,_TytRBiZaxI,338482,1152,417,1163,PT9M31S,2009-05-13T01:46:51.000Z
21,by_by_sy_trndynG | mqtl bTl kml 'jsm swdny fy #qTr ythyr ltsw'lt,QOmbqiHgRNk,281782,1823,197,1658,PT4M10S,2018-07-09T15:56:18.000Z
22,by_by_sy_trndynG | 'Trf lmwqf wlSwr fy jtm` qd@ Hlf #lntw fy brwksl,ukpG5BtS7iU,107904,911,87,161,PT4M6S,2018-07-12T15:57:30.000Z
23,by_by_sy_trndynG | nt`rf `l~ lqS@ wr fydyw ltlw@ swr@ #lftH@ `l~ wq` mwsyq~ wlTbwl fy #mSr,JtB-wqOiAVY,21392,171,78,231,PT6M51S,2018-07-18T16:24:12.000Z
24,BBC Arabic TV 2018 04 12 14 39 23,Hq9C5tQ3fws,88,1,0,0,PT4M10S,2018-04-13T07:22:34.000Z
25,BBC Arabic TV 2018 07 14 hshm lGnm lymn Hwr hdy,ox843vc_MnA,149,2,1,0,PT4M6S,2018-07-18T17:55:24.000Z
26,BBC Arabic mwjz 'khbr by by sy dly mHmd Dalia Mohamed,5Vx39ptbyAI,30489,68,11,1,PT7M35S,2012-08-09T23:45:25.000Z
27,by_by_sy_trndynG: #trmb yhdd bsHb #lms`dt mn ySwt fy #ljm`y@_l`m@,qmweXeRGXEw,10285,94,11,21,PT7M21S,2017-12-21T16:46:11.000Z
28,qS@ shb m` lsrTn `l~ qn@ BBC Arabic,okQsIlo-vBA,5755,85,1,13,PT7M2S,2014-01-30T22:57:18.000Z
29,BBC Arabic Festival 2015 Highlights,KOYyoL_QcbI,1498,4,0,0,PT7M1S,2015-11-05T18:06:43.000Z
30,BBC Arabic radio nwr lshryf,qILMV0jwbN4,179,2,0,0,PT12M9S,2015-08-15T15:13:54.000Z
31,"by_by_sy_trndynG |  "" mkny lys fy lmTbkh"" sh`r Hml@ #ljzy'r lltDmn m` #rym DHy@ l`td",kzsANGsd_DY,10919,136,83,724,PT6M14S,2018-06-12T16:12:04.000Z
32,BBC Arabic TV & Radio Music 2008 - Dave Hewson,rBWhryhe9mI,37871,210,11,17,PT5M5S,2017-04-19T21:14:15.000Z
33,BBC Arabic   slymn l`qyly 9 3 2018,ZECzOOFsz30,997,15,0,3,PT16M20S,2018-03-09T19:39:37.000Z
34,BBC Arabic TV nbyl bn`bd llh Dyf brnmj `lm lZhyr@ `l~,ypiF46LbcKk,10553,15,0,0,PT8M17S,2016-03-02T01:23:23.000Z
35,BBC Arabic   slymn l`qyly 24 2 2018,egb_eoJ6mKY,257,1,0,1,PT19M50S,2018-02-24T19:22:22.000Z
36,BBC Arabic Showreel (Ahmed Elsayed),OMKlS8nEyPM,214,2,0,1,PT6M55S,2014-08-01T17:02:15.000Z
37,l`r 'wnlyn: fkh ljns `l~ lntrnt,zfuL-0dLkxY,122787,166,32,47,PT4M57S,2016-10-27T10:11:45.000Z
38,Toufik Makhloufi sur BBC arabic ,co9JXhLad5M,16963,31,2,9,PT5M5S,2012-08-10T09:32:41.000Z
39,BBC Arabic Interview with UAE State foreign minister Anwar Gargash,1uh5Dl0c5ko,2384,2,4,4,PT5M47S,2018-04-20T11:12:39.000Z
40,Sama Jordan BBC ARABIC l`lm hdh lms Dyf lnshr@ mn `mn ldktwr mHmwd ldwyry,coBujScc9zM,232,4,0,0,PT13M11S,2018-07-07T20:01:07.000Z
41,'myn yshrH `tzlh `l~ qn@ Bbc arabic,vWQnYJS0Jek,63,11,0,3,PT6M7S,2018-05-10T20:39:09.000Z
42,Sama Jordan - BBC ARABIC Dyf lnshr@ mn `mn ldktwr fyz ldwyry,yBL3zr2KZsw,546,8,1,0,PT4M36S,2018-07-21T12:12:34.000Z
43,by by sy l`rby@ BBC Arabic LONDON KAFTAN FASHION SHOW coverage,anqH6OZc7Oo,464,3,0,0,PT11M6S,2017-05-17T22:21:36.000Z
44,BBC Arabic TV Launch,vw2t7-mTlY0,2489,7,0,0,PT4M38S,2012-11-04T19:16:19.000Z
45,slTn l`Symy | lsfn lmthlk@ fy lsh`yb@ ls`wdy@ `l~ BBC Arabic,SDJLx3atwic,36542,190,14,41,PT4M46S,2015-06-06T21:31:57.000Z
46,#by_by_sy_trndynG | SHb Hml@ #kn_rjl  yfsr sbb wqwfh Dd lbs #lns thyb fDH@,k2UZzhVmItI,20521,302,61,333,PT7M56S,2018-07-18T16:26:42.000Z
47,BBC Arabic TV rdwd f`l GDb@ `l~ qnwn lqwmy@ ldhy qrth lknyst lsry'yly,RGYOQkT9tvE,11,1,0,0,PT4M44S,2018-07-19T12:59:48.000Z
48,nqT@ Hwr bbc arabic  m` `ly mHmwd Hsnyn,T9NCcVwJJN8,681,11,2,1,PT17M12S,2016-12-20T17:04:52.000Z
49,'   hny mshwr   BBC Arabic 2018 02 17,Pl8gbW-iBqg,1118,22,1,3,PT6M8S,2018-02-17T13:40:16.000Z
0,by_by_sy_trndynG | #tbwt yktshf fy #lskndry@ y`yd #l`n@_lfr`n@ wyGDb #lmSrywn,ktS39pFLx0I,150692,1256,146,403,PT5M34S,2018-07-20T16:25:25.000Z
1,BBC Arabic mwjz 'khbr by by sy dly mHmd Dalia Mohamed,5Vx39ptbyAI,30489,68,11,1,PT7M35S,2012-08-09T23:45:25.000Z
